term1,term2,count
vessel,organ,1
vessel,sus,1
vessel,ear,0
vessel,arm,0
vessel,brain,0
vessel,pit,0
vessel,pan,1
vessel,tube,0
vessel,homo,0
vessel,duct,0
vessel,time,1
organ,vessel,1
organ,sus,2
organ,ear,4
organ,arm,6
organ,brain,1
organ,pit,4
organ,pan,7
organ,tube,0
organ,homo,1
organ,duct,25
organ,time,6
sus,vessel,1
sus,organ,2
sus,ear,0
sus,arm,0
sus,brain,0
sus,pit,1
sus,pan,1
sus,tube,1
sus,homo,0
sus,duct,3
sus,time,2
ear,vessel,0
ear,organ,4
ear,sus,0
ear,arm,1
ear,brain,1
ear,pit,1
ear,pan,2
ear,tube,2
ear,homo,1
ear,duct,5
ear,time,1
arm,vessel,0
arm,organ,6
arm,sus,0
arm,ear,1
arm,brain,0
arm,pit,0
arm,pan,0
arm,tube,0
arm,homo,0
arm,duct,5
arm,time,0
brain,vessel,0
brain,organ,1
brain,sus,0
brain,ear,1
brain,arm,0
brain,pit,0
brain,pan,0
brain,tube,0
brain,homo,1
brain,duct,1
brain,time,0
pit,vessel,0
pit,organ,4
pit,sus,1
pit,ear,1
pit,arm,0
pit,brain,0
pit,pan,0
pit,tube,2
pit,homo,0
pit,duct,5
pit,time,3
pan,vessel,1
pan,organ,7
pan,sus,1
pan,ear,2
pan,arm,0
pan,brain,0
pan,pit,0
pan,tube,4
pan,homo,0
pan,duct,26
pan,time,1
tube,vessel,0
tube,organ,0
tube,sus,1
tube,ear,2
tube,arm,0
tube,brain,0
tube,pit,2
tube,pan,4
tube,homo,0
tube,duct,7
tube,time,0
homo,vessel,0
homo,organ,1
homo,sus,0
homo,ear,1
homo,arm,0
homo,brain,1
homo,pit,0
homo,pan,0
homo,tube,0
homo,duct,1
homo,time,0
duct,vessel,0
duct,organ,25
duct,sus,3
duct,ear,5
duct,arm,5
duct,brain,1
duct,pit,5
duct,pan,26
duct,tube,7
duct,homo,1
duct,time,9
time,vessel,1
time,organ,6
time,sus,2
time,ear,1
time,arm,0
time,brain,0
time,pit,3
time,pan,1
time,tube,0
time,homo,0
time,duct,9
