term1,term2,count
o star,ring,0
o star,ammonia,1
o star,bromine,0
o star,ion,1
o star,carbon,0
o star,electron,0
o star,palladium,0
o star,proton,0
o star,of star,1
o star,period,0
o star,testing,0
o star,magnesium,0
o star,ray,0
o star,analysis,1
o star,system,0
o star,spectrum,0
o star,he i,0
o star,argon,0
o star,red star,0
o star,evaporation,0
o star,formation,0
o star,air,0
o star,cycle,0
o star,current,0
o star,arc,1
o star,vacuum,0
o star,bubble,0
o star,temperature,0
o star,copper,0
o star,power,1
o star,map,0
o star,n star,0
o star,url,0
o star,filter,0
o star,cs,0
o star,ethane,1
o star,ratio,1
o star,me star,0
o star,source,1
o star,lithium,0
o star,coupling,0
o star,w-,0
o star,function,0
o star,tin,1
o star,oxygen,0
o star,glass,0
o star,comparison,0
o star,pressure,1
o star,water,0
o star,graph,1
o star,sodium,0
o star,unit,0
o star,methane,1
o star,position,0
o star,potassium,0
o star,mass,0
o star,origin,0
o star,f star,1
o star,error,0
o star,spectroscopy,0
o star,design,0
o star,g star,0
o star,gas,0
o star,flux,0
o star,microwave,0
o star,caesium,0
o star,nitrogen,0
o star,s star,1
o star,volatile,1
o star,intensity,1
o star,interaction,0
o star,iron,0
o star,time,0
o star,boron,0
o star,age,0
ring,o star,0
ring,ammonia,1
ring,bromine,15
ring,ion,27
ring,carbon,11
ring,electron,0
ring,palladium,2
ring,proton,1
ring,of star,4
ring,period,1
ring,testing,1
ring,magnesium,4
ring,ray,18
ring,analysis,2
ring,system,0
ring,spectrum,2
ring,he i,1
ring,argon,7
ring,red star,1
ring,evaporation,1
ring,formation,1
ring,air,2
ring,cycle,0
ring,current,0
ring,arc,11
ring,vacuum,1
ring,bubble,1
ring,temperature,18
ring,copper,1
ring,power,27
ring,map,1
ring,n star,1
ring,url,1
ring,filter,18
ring,cs,12
ring,ethane,3
ring,ratio,8
ring,me star,0
ring,source,27
ring,lithium,0
ring,coupling,8
ring,w-,0
ring,function,1
ring,tin,23
ring,oxygen,0
ring,glass,1
ring,comparison,2
ring,pressure,7
ring,water,7
ring,graph,8
ring,sodium,16
ring,unit,1
ring,methane,3
ring,position,4
ring,potassium,5
ring,mass,1
ring,origin,1
ring,f star,4
ring,error,1
ring,spectroscopy,1
ring,design,0
ring,g star,0
ring,gas,5
ring,flux,5
ring,microwave,3
ring,caesium,1
ring,nitrogen,1
ring,s star,0
ring,volatile,0
ring,intensity,0
ring,interaction,0
ring,iron,0
ring,time,6
ring,boron,7
ring,age,4
ammonia,o star,1
ammonia,ring,1
ammonia,bromine,0
ammonia,ion,25
ammonia,carbon,13
ammonia,electron,0
ammonia,palladium,0
ammonia,proton,1
ammonia,of star,3
ammonia,period,0
ammonia,testing,0
ammonia,magnesium,0
ammonia,ray,0
ammonia,analysis,2
ammonia,system,0
ammonia,spectrum,4
ammonia,he i,2
ammonia,argon,2
ammonia,red star,3
ammonia,evaporation,0
ammonia,formation,0
ammonia,air,0
ammonia,cycle,1
ammonia,current,0
ammonia,arc,12
ammonia,vacuum,1
ammonia,bubble,0
ammonia,temperature,1
ammonia,copper,0
ammonia,power,25
ammonia,map,0
ammonia,n star,0
ammonia,url,0
ammonia,filter,18
ammonia,cs,0
ammonia,ethane,23
ammonia,ratio,15
ammonia,me star,1
ammonia,source,25
ammonia,lithium,0
ammonia,coupling,4
ammonia,w-,1
ammonia,function,0
ammonia,tin,11
ammonia,oxygen,0
ammonia,glass,0
ammonia,comparison,0
ammonia,pressure,22
ammonia,water,1
ammonia,graph,23
ammonia,sodium,0
ammonia,unit,0
ammonia,methane,23
ammonia,position,0
ammonia,potassium,9
ammonia,mass,0
ammonia,origin,0
ammonia,f star,3
ammonia,error,0
ammonia,spectroscopy,0
ammonia,design,0
ammonia,g star,1
ammonia,gas,9
ammonia,flux,0
ammonia,microwave,12
ammonia,caesium,0
ammonia,nitrogen,0
ammonia,s star,1
ammonia,volatile,2
ammonia,intensity,1
ammonia,interaction,1
ammonia,iron,1
ammonia,time,1
ammonia,boron,18
ammonia,age,0
bromine,o star,0
bromine,ring,15
bromine,ammonia,0
bromine,ion,20
bromine,carbon,1
bromine,electron,0
bromine,palladium,1
bromine,proton,1
bromine,of star,3
bromine,period,0
bromine,testing,0
bromine,magnesium,1
bromine,ray,11
bromine,analysis,1
bromine,system,0
bromine,spectrum,2
bromine,he i,1
bromine,argon,1
bromine,red star,2
bromine,evaporation,1
bromine,formation,0
bromine,air,1
bromine,cycle,0
bromine,current,2
bromine,arc,10
bromine,vacuum,1
bromine,bubble,0
bromine,temperature,12
bromine,copper,0
bromine,power,20
bromine,map,0
bromine,n star,1
bromine,url,0
bromine,filter,10
bromine,cs,7
bromine,ethane,0
bromine,ratio,4
bromine,me star,0
bromine,source,20
bromine,lithium,1
bromine,coupling,5
bromine,w-,0
bromine,function,1
bromine,tin,17
bromine,oxygen,0
bromine,glass,1
bromine,comparison,2
bromine,pressure,8
bromine,water,7
bromine,graph,7
bromine,sodium,17
bromine,unit,1
bromine,methane,0
bromine,position,2
bromine,potassium,0
bromine,mass,1
bromine,origin,1
bromine,f star,3
bromine,error,1
bromine,spectroscopy,0
bromine,design,0
bromine,g star,0
bromine,gas,1
bromine,flux,1
bromine,microwave,1
bromine,caesium,0
bromine,nitrogen,1
bromine,s star,0
bromine,volatile,0
bromine,intensity,0
bromine,interaction,0
bromine,iron,0
bromine,time,3
bromine,boron,1
bromine,age,3
ion,o star,1
ion,ring,27
ion,ammonia,25
ion,bromine,20
ion,carbon,31
ion,electron,1
ion,palladium,5
ion,proton,3
ion,of star,10
ion,period,1
ion,testing,1
ion,magnesium,5
ion,ray,18
ion,analysis,4
ion,system,2
ion,spectrum,10
ion,he i,3
ion,argon,11
ion,red star,6
ion,evaporation,1
ion,formation,4
ion,air,2
ion,cycle,1
ion,current,2
ion,arc,36
ion,vacuum,2
ion,bubble,1
ion,temperature,21
ion,copper,1
ion,power,73
ion,map,1
ion,n star,1
ion,url,1
ion,filter,41
ion,cs,12
ion,ethane,25
ion,ratio,25
ion,me star,1
ion,source,73
ion,lithium,1
ion,coupling,18
ion,w-,1
ion,function,1
ion,tin,43
ion,oxygen,1
ion,glass,1
ion,comparison,2
ion,pressure,40
ion,water,15
ion,graph,39
ion,sodium,22
ion,unit,1
ion,methane,25
ion,position,6
ion,potassium,20
ion,mass,1
ion,origin,1
ion,f star,10
ion,error,1
ion,spectroscopy,1
ion,design,1
ion,g star,1
ion,gas,23
ion,flux,9
ion,microwave,18
ion,caesium,1
ion,nitrogen,4
ion,s star,1
ion,volatile,2
ion,intensity,1
ion,interaction,1
ion,iron,1
ion,time,10
ion,boron,40
ion,age,4
carbon,o star,0
carbon,ring,11
carbon,ammonia,13
carbon,bromine,1
carbon,ion,31
carbon,electron,0
carbon,palladium,2
carbon,proton,1
carbon,of star,3
carbon,period,1
carbon,testing,1
carbon,magnesium,4
carbon,ray,7
carbon,analysis,1
carbon,system,0
carbon,spectrum,5
carbon,he i,2
carbon,argon,10
carbon,red star,0
carbon,evaporation,0
carbon,formation,2
carbon,air,1
carbon,cycle,1
carbon,current,0
carbon,arc,14
carbon,vacuum,0
carbon,bubble,0
carbon,temperature,6
carbon,copper,1
carbon,power,31
carbon,map,1
carbon,n star,0
carbon,url,1
carbon,filter,23
carbon,cs,5
carbon,ethane,15
carbon,ratio,11
carbon,me star,0
carbon,source,31
carbon,lithium,0
carbon,coupling,12
carbon,w-,0
carbon,function,0
carbon,tin,13
carbon,oxygen,0
carbon,glass,0
carbon,comparison,0
carbon,pressure,19
carbon,water,5
carbon,graph,20
carbon,sodium,5
carbon,unit,0
carbon,methane,15
carbon,position,4
carbon,potassium,17
carbon,mass,0
carbon,origin,0
carbon,f star,3
carbon,error,0
carbon,spectroscopy,1
carbon,design,0
carbon,g star,0
carbon,gas,20
carbon,flux,5
carbon,microwave,9
carbon,caesium,1
carbon,nitrogen,2
carbon,s star,0
carbon,volatile,0
carbon,intensity,0
carbon,interaction,1
carbon,iron,1
carbon,time,6
carbon,boron,26
carbon,age,1
electron,o star,0
electron,ring,0
electron,ammonia,0
electron,bromine,0
electron,ion,1
electron,carbon,0
electron,palladium,0
electron,proton,0
electron,of star,0
electron,period,0
electron,testing,0
electron,magnesium,0
electron,ray,0
electron,analysis,0
electron,system,0
electron,spectrum,0
electron,he i,0
electron,argon,0
electron,red star,0
electron,evaporation,0
electron,formation,1
electron,air,0
electron,cycle,0
electron,current,0
electron,arc,0
electron,vacuum,0
electron,bubble,0
electron,temperature,0
electron,copper,0
electron,power,1
electron,map,0
electron,n star,0
electron,url,0
electron,filter,0
electron,cs,0
electron,ethane,0
electron,ratio,0
electron,me star,0
electron,source,1
electron,lithium,0
electron,coupling,0
electron,w-,0
electron,function,0
electron,tin,1
electron,oxygen,0
electron,glass,0
electron,comparison,0
electron,pressure,0
electron,water,0
electron,graph,0
electron,sodium,0
electron,unit,0
electron,methane,0
electron,position,0
electron,potassium,0
electron,mass,0
electron,origin,0
electron,f star,0
electron,error,0
electron,spectroscopy,0
electron,design,0
electron,g star,0
electron,gas,0
electron,flux,0
electron,microwave,1
electron,caesium,0
electron,nitrogen,0
electron,s star,0
electron,volatile,0
electron,intensity,0
electron,interaction,0
electron,iron,0
electron,time,0
electron,boron,1
electron,age,0
palladium,o star,0
palladium,ring,2
palladium,ammonia,0
palladium,bromine,1
palladium,ion,5
palladium,carbon,2
palladium,electron,0
palladium,proton,0
palladium,of star,2
palladium,period,0
palladium,testing,0
palladium,magnesium,0
palladium,ray,0
palladium,analysis,1
palladium,system,0
palladium,spectrum,0
palladium,he i,0
palladium,argon,2
palladium,red star,0
palladium,evaporation,0
palladium,formation,1
palladium,air,0
palladium,cycle,0
palladium,current,0
palladium,arc,2
palladium,vacuum,0
palladium,bubble,1
palladium,temperature,1
palladium,copper,1
palladium,power,5
palladium,map,0
palladium,n star,0
palladium,url,0
palladium,filter,1
palladium,cs,0
palladium,ethane,1
palladium,ratio,0
palladium,me star,0
palladium,source,5
palladium,lithium,0
palladium,coupling,2
palladium,w-,0
palladium,function,0
palladium,tin,2
palladium,oxygen,1
palladium,glass,0
palladium,comparison,0
palladium,pressure,2
palladium,water,1
palladium,graph,2
palladium,sodium,1
palladium,unit,0
palladium,methane,1
palladium,position,0
palladium,potassium,1
palladium,mass,0
palladium,origin,0
palladium,f star,2
palladium,error,0
palladium,spectroscopy,1
palladium,design,0
palladium,g star,0
palladium,gas,1
palladium,flux,2
palladium,microwave,1
palladium,caesium,1
palladium,nitrogen,3
palladium,s star,0
palladium,volatile,0
palladium,intensity,0
palladium,interaction,0
palladium,iron,0
palladium,time,1
palladium,boron,5
palladium,age,0
proton,o star,0
proton,ring,1
proton,ammonia,1
proton,bromine,1
proton,ion,3
proton,carbon,1
proton,electron,0
proton,palladium,0
proton,of star,1
proton,period,0
proton,testing,0
proton,magnesium,0
proton,ray,0
proton,analysis,0
proton,system,0
proton,spectrum,1
proton,he i,0
proton,argon,0
proton,red star,0
proton,evaporation,0
proton,formation,0
proton,air,0
proton,cycle,0
proton,current,0
proton,arc,1
proton,vacuum,0
proton,bubble,0
proton,temperature,1
proton,copper,0
proton,power,3
proton,map,0
proton,n star,0
proton,url,0
proton,filter,3
proton,cs,0
proton,ethane,1
proton,ratio,0
proton,me star,0
proton,source,3
proton,lithium,0
proton,coupling,1
proton,w-,0
proton,function,0
proton,tin,3
proton,oxygen,0
proton,glass,0
proton,comparison,0
proton,pressure,2
proton,water,0
proton,graph,3
proton,sodium,1
proton,unit,0
proton,methane,1
proton,position,0
proton,potassium,1
proton,mass,0
proton,origin,0
proton,f star,1
proton,error,0
proton,spectroscopy,0
proton,design,0
proton,g star,0
proton,gas,1
proton,flux,0
proton,microwave,1
proton,caesium,0
proton,nitrogen,0
proton,s star,0
proton,volatile,0
proton,intensity,0
proton,interaction,1
proton,iron,1
proton,time,0
proton,boron,2
proton,age,0
of star,o star,1
of star,ring,4
of star,ammonia,3
of star,bromine,3
of star,ion,10
of star,carbon,3
of star,electron,0
of star,palladium,2
of star,proton,1
of star,period,0
of star,testing,0
of star,magnesium,0
of star,ray,0
of star,analysis,3
of star,system,0
of star,spectrum,4
of star,he i,0
of star,argon,1
of star,red star,3
