term1,term2,count
risk assessment,distillation,0
risk assessment,chromatography,2
risk assessment,extraction,1
risk assessment,spectrum,0
risk assessment,evaporation,0
risk assessment,matrix,1
risk assessment,purification,1
risk assessment,stirring,2
risk assessment,column chromatography,2
risk assessment,function,0
risk assessment,crystallisation,0
risk assessment,solubility,0
risk assessment,recrystallisation,0
risk assessment,mixture,2
risk assessment,spectroscopy,0
risk assessment,flash chromatography,0
risk assessment,chromatograph,2
risk assessment,concentration,0
risk assessment,washing,0
distillation,risk assessment,0
distillation,chromatography,0
distillation,extraction,0
distillation,spectrum,0
distillation,evaporation,0
distillation,matrix,0
distillation,purification,0
distillation,stirring,0
distillation,column chromatography,0
distillation,function,0
distillation,crystallisation,0
distillation,solubility,0
distillation,recrystallisation,0
distillation,mixture,1
distillation,spectroscopy,0
distillation,flash chromatography,0
distillation,chromatograph,0
distillation,concentration,0
distillation,washing,0
chromatography,risk assessment,2
chromatography,distillation,0
chromatography,extraction,1
chromatography,spectrum,9
chromatography,evaporation,1
chromatography,matrix,0
chromatography,purification,3
chromatography,stirring,5
chromatography,column chromatography,38
chromatography,function,1
chromatography,crystallisation,0
chromatography,solubility,3
chromatography,recrystallisation,0
chromatography,mixture,38
chromatography,spectroscopy,1
chromatography,flash chromatography,1
chromatography,chromatograph,39
chromatography,concentration,1
chromatography,washing,1
extraction,risk assessment,1
extraction,distillation,0
extraction,chromatography,1
extraction,spectrum,0
extraction,evaporation,0
extraction,matrix,0
extraction,purification,1
extraction,stirring,1
extraction,column chromatography,1
extraction,function,0
extraction,crystallisation,0
extraction,solubility,0
extraction,recrystallisation,0
extraction,mixture,1
extraction,spectroscopy,0
extraction,flash chromatography,0
extraction,chromatograph,1
extraction,concentration,0
extraction,washing,0
spectrum,risk assessment,0
spectrum,distillation,0
spectrum,chromatography,9
spectrum,extraction,0
spectrum,evaporation,1
spectrum,matrix,0
spectrum,purification,1
spectrum,stirring,2
spectrum,column chromatography,9
spectrum,function,0
spectrum,crystallisation,0
spectrum,solubility,0
spectrum,recrystallisation,0
spectrum,mixture,10
spectrum,spectroscopy,0
spectrum,flash chromatography,0
spectrum,chromatograph,9
spectrum,concentration,1
spectrum,washing,0
evaporation,risk assessment,0
evaporation,distillation,0
evaporation,chromatography,1
evaporation,extraction,0
evaporation,spectrum,1
evaporation,matrix,0
evaporation,purification,1
evaporation,stirring,1
evaporation,column chromatography,1
evaporation,function,0
evaporation,crystallisation,0
evaporation,solubility,0
evaporation,recrystallisation,0
evaporation,mixture,1
evaporation,spectroscopy,0
evaporation,flash chromatography,0
evaporation,chromatograph,1
evaporation,concentration,0
evaporation,washing,0
matrix,risk assessment,1
matrix,distillation,0
matrix,chromatography,0
matrix,extraction,0
matrix,spectrum,0
matrix,evaporation,0
matrix,purification,0
matrix,stirring,0
matrix,column chromatography,0
matrix,function,0
matrix,crystallisation,0
matrix,solubility,0
matrix,recrystallisation,0
matrix,mixture,0
matrix,spectroscopy,0
matrix,flash chromatography,0
matrix,chromatograph,0
matrix,concentration,0
matrix,washing,0
purification,risk assessment,1
purification,distillation,0
purification,chromatography,3
purification,extraction,1
purification,spectrum,1
purification,evaporation,1
purification,matrix,0
purification,stirring,4
purification,column chromatography,3
purification,function,0
purification,crystallisation,1
purification,solubility,1
purification,recrystallisation,1
purification,mixture,7
purification,spectroscopy,0
purification,flash chromatography,0
purification,chromatograph,3
purification,concentration,0
purification,washing,0
stirring,risk assessment,2
stirring,distillation,0
stirring,chromatography,5
stirring,extraction,1
stirring,spectrum,2
stirring,evaporation,1
stirring,matrix,0
stirring,purification,4
stirring,column chromatography,5
stirring,function,1
stirring,crystallisation,1
stirring,solubility,1
stirring,recrystallisation,1
stirring,mixture,15
stirring,spectroscopy,0
stirring,flash chromatography,0
stirring,chromatograph,5
stirring,concentration,0
stirring,washing,0
column chromatography,risk assessment,2
column chromatography,distillation,0
column chromatography,chromatography,38
column chromatography,extraction,1
column chromatography,spectrum,9
column chromatography,evaporation,1
column chromatography,matrix,0
column chromatography,purification,3
column chromatography,stirring,5
column chromatography,function,1
column chromatography,crystallisation,0
column chromatography,solubility,3
